responseCode,responseStatus,contentLength,serverIP,timingConnected,timingResponse,timingRequest,timingTransfer,location
200,OK,102400,172.67.148.21,0.002996,0.050750,0.051171,0.056075,coloradosprings
200,OK,102400,172.67.148.21,0.051044,0.225869,0.226145,0.291002,columbus
200,OK,102400,104.21.71.190,0.011165,0.056081,0.056422,0.069736,copenhagen
200,OK,102400,172.67.148.21,0.004527,0.038756,0.039054,0.045475,coventry
200,OK,102400,172.67.148.21,0.010820,0.075390,0.075906,0.093036,cromwell
200,OK,102400,104.21.71.190,0.062836,0.982012,0.982633,1.092450,dagupan
200,OK,102400,172.67.148.21,0.005190,0.065957,0.066497,0.076036,dallas
200,OK,102400,104.21.71.190,0.033611,0.490916,0.491191,0.526164,daressalaam
200,OK,102400,172.67.148.21,0.001427,0.060911,0.061397,0.065773,denver
200,OK,102400,104.21.71.190,0.007665,0.078304,0.078647,0.303279,desmoines
200,OK,102400,172.67.148.21,0.008523,0.055636,0.056114,0.089622,detroit
200,OK,102400,104.21.71.190,0.001192,0.030747,0.030951,0.033979,dhaka
200,OK,102400,104.21.71.190,0.009579,0.058460,0.059278,0.074638,douglas
200,OK,102400,104.21.71.190,0.002723,0.106600,0.106929,0.112756,dronten
200,OK,102400,172.67.148.21,0.104316,0.344189,0.344548,0.478835,dubai
200,OK,102400,104.21.71.190,0.018912,0.078233,0.079093,0.100415,dublin
200,OK,102400,104.21.71.190,0.006928,0.048061,0.048599,0.057436,dusseldorf
200,OK,102400,172.67.148.21,0.012146,0.077648,0.077862,0.090522,edinburgh
200,OK,102400,172.67.148.21,0.018797,0.194516,0.194850,0.222217,edmonton
200,OK,102400,104.21.71.190,0.005627,0.041998,0.042248,0.049320,eindhoven
200,OK,102400,104.21.71.190,0.002022,0.032245,0.032448,0.034830,falkenberg
200,OK,102400,104.21.71.190,0.005634,0.038799,0.039176,0.047581,falkenstein
200,OK,102400,104.21.71.190,0.014851,0.069515,0.069996,0.097325,fez
200,OK,102400,104.21.71.190,0.001426,0.038407,0.038738,0.041005,frankfurt
200,OK,102400,172.67.148.21,0.002324,0.042141,0.042916,0.048517,fremont
200,OK,102400,104.21.71.190,0.012791,0.069937,0.070605,0.087002,frosinone
200,OK,102400,104.21.71.190,0.025416,0.171227,0.171734,0.206271,gdansk
200,OK,102400,172.67.148.21,0.008393,0.056779,0.057196,0.065786,geneva
200,OK,102400,104.21.71.190,0.004246,0.042342,0.042656,0.048709,gosport
200,OK,102400,172.67.148.21,0.003675,0.031120,0.031289,0.036510,graz
200,OK,102400,172.67.148.21,0.011697,0.068719,0.069476,0.095494,greenbay
200,OK,102400,104.21.71.190,0.005530,0.123005,0.123236,0.130195,groningen
200,OK,102400,172.67.148.21,0.005561,0.039982,0.040408,0.055621,guadalajara
200,OK,102400,172.67.148.21,0.030741,0.158187,0.158443,0.406109,guatemala
200,OK,102400,172.67.148.21,0.016060,0.084427,0.085285,0.109694,halifax
200,OK,102400,172.67.148.21,0.000578,0.061570,0.061931,0.073801,hamburg
200,OK,102400,104.21.71.190,0.037535,0.199829,0.200107,0.241331,hanoi
200,OK,102400,104.21.71.190,0.001420,0.048310,0.048853,0.056389,helsinki
200,OK,102400,172.64.80.1,0.060274,0.204768,0.205441,0.273827,heredia
200,OK,102400,104.21.71.190,0.025657,0.107880,0.108505,0.158705,hochiminhcity
200,OK,102400,104.21.71.190,0.001223,0.079847,0.080306,0.084412,hongkong
200,OK,102400,172.67.148.21,0.048388,0.165772,0.165882,0.264717,honolulu
200,OK,102400,172.67.148.21,0.005710,0.050316,0.050521,0.057018,houston
200,OK,102400,104.21.71.190,0.149022,0.476817,0.477201,0.696961,hyderabad
200,OK,102400,104.21.71.190,0.007177,0.046671,0.046967,0.056169,iasi
200,OK,102400,172.67.148.21,0.027053,0.101548,0.101867,0.130382,indianapolis
